SIMULATION : Neuron membrane potential over time 0.1

The time incrementation between each measure is : 0.1 ms
Total simulation time : 500.2 ms

Time (ms) 	 V (mV) 
23.7		0
23.8		0
23.9		0
24		0
24.1		0
24.2		0
24.3		0
24.4		0
24.5		0
24.6		0
24.7		0
24.8		0
24.9		0
25		0
25.1		0
25.2		0
25.3		0
25.4		0
25.5		0
25.6		0
25.7		0
25.8		0
25.9		0
26		0
26.1		0
26.2		0
26.3		0
26.4		0
26.5		0
26.6		0
26.7		0
26.8		0
26.9		0
27		0
27.1		0
27.2		0
27.3		0
27.4		0
27.5		0
27.6		0
27.7		0
27.8		0
27.9		0
28		0
28.1		0
28.2		0
28.3		0
28.4		0
28.5		0
28.6		0
28.7		0
28.8		0
28.9		0
29		0
29.1		0
29.2		0
29.3		0
29.4		0
29.5		0
29.6		0
29.7		0
29.8		0
29.9		0
30		0
30.1		0
30.2		0
30.3		0
30.4		0
30.5		0
30.6		0
30.7		0
30.8		0
30.9		0
31		0
31.1		0
31.2		0
31.3		0
31.4		0
31.5		0
31.6		0
31.7		0
31.8		0
31.9		0
32		0
32.1		0
32.2		0
32.3		0
32.4		0
32.5		0
32.6		0
32.7		0
32.8		0
32.9		0
33		0
33.1		0
33.2		0
33.3		0
33.4		0
33.5		0
33.6		0
33.7		0
33.8		0
33.9		0
34		0
34.1		0
34.2		0
34.3		0
34.4		0
34.5		0
34.6		0
34.7		0
34.8		0
34.9		0
35		0
35.1		0
35.2		0
35.3		0
35.4		0
35.5		0
35.6		0
35.7		0
35.8		0
35.9		0
36		0
36.1		0
36.2		0
36.3		0
36.4		0
36.5		0
36.6		0
36.7		0
36.8		0
36.9		0
37		0
37.1		0
37.2		0
37.3		0
37.4		0
37.5		0
37.6		0
37.7		0
37.8		0
37.9		0
38		0
38.1		0
38.2		0
38.3		0
38.4		0
38.5		0
38.6		0
38.7		0
38.8		0
38.9		0
39		0
39.1		0
39.2		0
39.3		0
39.4		0
39.5		0
39.6		0
39.7		0
39.8		0
39.9		0
40		0
40.1		0
40.2		0
40.3		0
40.4		0
40.5		0
40.6		0
40.7		0
40.8		0
40.9		0
41		0
41.1		0
41.2		0
41.3		0
41.4		0
41.5		0
41.6		0
41.7		0
41.8		0
41.9		0
42		0
42.1		0
42.2		0
42.3		0
42.4		0
42.5		0
42.6		0
42.7		0
42.8		0
42.9		0
43		0
43.1		0
43.2		0
43.3		0
43.4		0
43.5		0
43.6		0
43.7		0
43.8		0
43.9		0
44		0
44.1		0
44.2		0
44.3		0
44.4		0
44.5		0
44.6		0
44.7		0
44.8		0
44.9		0
45		0
45.1		0
45.2		0
45.3		0
45.4		0
45.5		0
45.6		0
45.7		0
45.8		0
45.9		0
46		0
46.1		0
46.2		0
46.3		0
46.4		0
46.5		0
46.6		0
46.7		0
46.8		0
46.9		0
47		0
47.1		0
47.2		0
47.3		0
47.4		0
47.5		0
47.6		0
47.7		0
47.8		0
47.9		0
48		0
48.1		0
48.2		0
48.3		0
48.4		0
48.5		0
48.6		0
48.7		0
48.8		0
48.9		0
49		0
49.1		0
49.2		0
49.3		0
49.4		0
49.5		0
49.6		0
49.7		0
49.8		0
49.9		0
50		0
50.1		0
50.2		0
50.3		0
50.4		0
50.5		0
50.6		0
50.7		0
50.8		0
50.9		0
51		0
51.1		0
51.2		0
51.3		0
51.4		0
51.5		0
51.6		0
51.7		0
51.8		0
51.9		0
52		0
52.1		0
52.2		0
52.3		0
52.4		0
52.5		0
52.6		0
52.7		0
52.8		0
52.9		0
53		0
53.1		0
53.2		0
53.3		0
53.4		0
53.5		0
53.6		0
53.7		0
53.8		0
53.9		0
54		0
54.1		0
54.2		0
54.3		0
54.4		0
54.5		0
54.6		0
54.7		0
54.8		0
54.9		0
55		0
55.1		0
55.2		0
55.3		0
55.4		0
55.5		0
55.6		0
55.7		0
55.8		0
55.9		0
56		0
56.1		0
56.2		0
56.3		0
56.4		0
56.5		0
56.6		0
56.7		0
56.8		0
56.9		0
57		0
57.1		0
57.2		0
57.3		0
57.4		0
57.5		0
57.6		0
57.7		0
57.8		0
57.9		0
58		0
58.1		0
58.2		0
58.3		0
58.4		0
58.5		0
58.6		0
58.7		0
58.8		0
58.9		0
59		0
59.1		0
59.2		0
59.3		0
59.4		0
59.5		0
59.6		0
59.7		0
59.8		0
59.9		0
60		0
60.1		0
60.2		0
60.3		0
60.4		0
60.5		0
60.6		0
60.7		0
60.8		0
60.9		0
61		0
61.1		0
61.2		0
61.3		0
61.4		0
61.5		0
61.6		0
61.7		0
61.8		0
61.9		0
62		0
62.1		0
62.2		0
62.3		0
62.4		0
62.5		0
62.6		0
62.7		0
62.8		0
62.9		0
63		0
63.1		0
63.2		0
63.3		0
63.4		0
63.5		0
63.6		0
63.7		0
63.8		0
63.9		0
64		0
64.1		0
64.2		0
64.3		0
64.4		0
64.5		0
64.6		0
64.7		0
64.8		0
64.9		0
65		0
65.1		0
65.2		0
65.3		0
65.4		0
65.5		0
65.6		0
65.7		0
65.8		0
65.9		0
66		0
66.1		0
66.2		0
66.3		0
66.4		0
66.5		0
66.6		0
66.7		0
66.8		0
66.9		0
67		0
67.1		0
67.2		0
67.3		0
67.4		0
67.5		0
67.6		0
67.7		0
67.8		0
67.9		0
68		0
68.1		0
68.2		0
68.3		0
68.4		0
68.5		0
68.6		0
68.7		0
68.8		0
68.9		0
69		0
69.1		0
69.2		0
69.3		0
69.4		0
69.5		0
69.6		0
69.7		0
69.8		0
69.9		0
70		0
70.1		0
70.2		0
70.3		0
70.4		0
70.5		0
70.6		0
70.7		0
70.8		0
70.9		0
71		0
71.1		0
71.2		0
71.3		0
71.4		0
71.5		0
71.6		0
71.7		0
71.8		0
71.9		0
72		0
72.1		0
72.2		0
72.3		0
72.4		0
72.5		0
72.6		0
72.7		0
72.8		0
72.9		0
73		0
73.1		0
73.2		0
73.3		0
73.4		0
73.5		0
73.6		0
73.7		0
73.8		0
73.9		0
74		0
74.1		0
74.2		0
74.3		0
74.4		0
74.5		0
74.6		0
74.7		0
74.8		0
74.9		0
75		0
75.1		0
75.2		0
75.3		0
75.4		0
75.5		0
75.6		0
75.7		0
75.8		0
75.9		0
76		0
76.1		0
76.2		0
76.3		0
76.4		0
76.5		0
76.6		0
76.7		0
76.8		0
76.9		0
77		0
77.1		0
77.2		0
77.3		0
77.4		0
77.5		0
77.6		0
77.7		0
77.8		0
77.9		0
78		0
78.1		0
78.2		0
78.3		0
78.4		0
78.5		0
78.6		0
78.7		0
78.8		0
78.9		0
79		0
79.1		0
79.2		0
79.3		0
79.4		0
79.5		0
79.6		0
79.7		0
79.8		0
79.9		0
80		0
80.1		0
80.2		0
80.3		0
80.4		0
80.5		0
80.6		0
80.7		0
80.8		0
80.9		0
81		0
81.1		0
81.2		0
81.3		0
81.4		0
81.5		0
81.6		0
81.7		0
81.8		0
81.9		0
82		0
82.1		0
82.2		0
82.3		0
82.4		0
82.5		0
82.6		0
82.7		0
82.8		0
82.9		0
83		0
83.1		0
83.2		0
83.3		0
83.4		0
83.5		0
83.6		0
83.7		0
83.8		0
83.9		0
84		0
84.1		0
84.2		0
84.3		0
84.4		0
84.5		0
84.6		0
84.7		0
84.8		0
84.9		0
85		0
85.1		0
85.2		0
85.3		0
85.4		0
85.5		0
85.6		0
85.7		0
85.8		0
85.9		0
86		0
86.1		0
86.2		0
86.3		0
86.4		0
86.5		0
86.6		0
86.7		0
86.8		0
86.9		0
87		0
87.1		0
87.2		0
87.3		0
87.4		0
87.5		0
87.6		0
87.7		0
87.8		0
87.9		0
88		0
88.1		0
88.2		0
88.3		0
88.4		0
88.5		0
88.6		0
88.7		0
88.8		0
88.9		0
89		0
89.1		0
89.2		0
89.3		0
89.4		0
89.5		0
89.6		0
89.7		0
89.8		0
89.9		0
90		0
90.1		0
90.2		0
90.3		0
90.4		0
90.5		0
90.6		0
90.7		0
90.8		0
90.9		0
91		0
91.1		0
91.2		0
91.3		0
91.4		0
91.5		0
91.6		0
91.7		0
91.8		0
91.9		0
92		0
92.1		0
92.2		0
92.3		0
92.4		0
92.5		0
92.6		0
92.7		0
92.8		0
92.9		0
93		0
93.1		0
93.2		0
93.3		0
93.4		0
93.5		0
93.6		0
93.7		0
93.8		0
93.9		0
94		0
94.1		0
94.2		0
94.3		0
94.4		0
94.5		0
94.6		0
94.7		0
94.8		0
94.9		0
95		0
95.1		0
95.2		0
95.3		0
95.4		0
95.5		0
95.6		0
95.7		0
95.8		0
95.9		0
96		0
96.1		0
96.2		0
96.3		0
96.4		0
96.5		0
96.6		0
96.7		0
96.8		0
96.9		0
97		0
97.1		0
97.2		0
97.3		0
97.4		0
97.5		0
97.6		0
97.7		0
97.8		0
97.9		0
98		0
98.1		0
98.2		0
98.3		0
98.4		0
98.5		0
98.6		0
98.7		0
98.8		0
98.9		0
99		0
99.1		0
99.2		0
99.3		0
99.4		0
99.5		0
99.6		0
99.7		0
99.8		0
99.9		0
100		0
100.1		0.1197
100.2		0.238804
100.3		0.357313
100.4		0.475232
100.5		0.592562
100.6		0.709307
100.7		0.82547
100.8		0.941053
100.9		1.05606
101		1.17049
101.1		1.28436
101.2		1.39765
101.3		1.51038
101.4		1.62255
101.5		1.73416
101.6		1.84521
101.7		1.95571
101.8		2.06565
101.9		2.17505
102		2.2839
102.1		2.39221
102.2		2.49998
102.3		2.60721
102.4		2.71391
102.5		2.82007
102.6		2.92571
102.7		3.03082
102.8		3.1354
102.9		3.23946
103		3.34301
103.1		3.44604
103.2		3.54855
103.3		3.65055
103.4		3.75204
103.5		3.85303
103.6		3.95351
103.7		4.0535
103.8		4.15298
103.9		4.25197
104		4.35046
104.1		4.44846
104.2		4.54598
104.3		4.64301
104.4		4.73955
104.5		4.83561
104.6		4.93119
104.7		5.0263
104.8		5.12093
104.9		5.21509
105		5.30878
105.1		5.402
105.2		5.49476
105.3		5.58706
105.4		5.67889
105.5		5.77027
105.6		5.86119
105.7		5.95166
105.8		6.04167
105.9		6.13124
106		6.22036
106.1		6.30904
106.2		6.39727
106.3		6.48507
106.4		6.57242
106.5		6.65934
106.6		6.74583
106.7		6.83189
106.8		6.91751
106.9		7.00271
107		7.08749
107.1		7.17184
107.2		7.25577
107.3		7.33928
107.4		7.42238
107.5		7.50506
107.6		7.58733
107.7		7.66918
107.8		7.75064
107.9		7.83168
108		7.91232
108.1		7.99256
108.2		8.07239
108.3		8.15183
108.4		8.23088
108.5		8.30953
108.6		8.38778
108.7		8.46565
108.8		8.54313
108.9		8.62022
109		8.69692
109.1		8.77325
109.2		8.84919
109.3		8.92476
109.4		8.99995
109.5		9.07476
109.6		9.1492
109.7		9.22327
109.8		9.29697
109.9		9.3703
110		9.44326
110.1		9.51587
110.2		9.58811
110.3		9.65999
110.4		9.73151
110.5		9.80267
110.6		9.87348
110.7		9.94394
110.8		10.014
110.9		10.0838
111		10.1532
111.1		10.2223
111.2		10.291
111.3		10.3594
111.4		10.4274
111.5		10.4951
111.6		10.5624
111.7		10.6295
111.8		10.6961
111.9		10.7625
112		10.8285
112.1		10.8942
112.2		10.9596
112.3		11.0246
112.4		11.0893
112.5		11.1537
112.6		11.2178
112.7		11.2815
112.8		11.345
112.9		11.4081
113		11.4709
113.1		11.5334
113.2		11.5956
113.3		11.6574
113.4		11.719
113.5		11.7802
113.6		11.8412
113.7		11.9018
113.8		11.9622
113.9		12.0222
114		12.082
114.1		12.1414
114.2		12.2005
114.3		12.2594
114.4		12.3179
114.5		12.3762
114.6		12.4342
114.7		12.4919
114.8		12.5493
114.9		12.6064
115		12.6632
115.1		12.7197
115.2		12.776
115.3		12.832
115.4		12.8877
115.5		12.9431
115.6		12.9983
115.7		13.0531
115.8		13.1077
115.9		13.1621
116		13.2161
116.1		13.2699
116.2		13.3234
116.3		13.3767
116.4		13.4296
116.5		13.4824
116.6		13.5348
116.7		13.587
116.8		13.6389
116.9		13.6906
117		13.742
117.1		13.7932
117.2		13.8441
117.3		13.8948
117.4		13.9452
117.5		13.9953
117.6		14.0452
117.7		14.0949
117.8		14.1443
117.9		14.1934
118		14.2423
118.1		14.291
118.2		14.3394
118.3		14.3876
118.4		14.4355
118.5		14.4832
118.6		14.5307
118.7		14.5779
118.8		14.6249
118.9		14.6717
119		14.7182
119.1		14.7645
119.2		14.8106
119.3		14.8564
119.4		14.902
119.5		14.9474
119.6		14.9925
119.7		15.0375
119.8		15.0822
119.9		15.1266
120		15.1709
120.1		15.2149
120.2		15.2587
120.3		15.3023
120.4		15.3457
120.5		15.3889
120.6		15.4318
120.7		15.4746
120.8		15.5171
120.9		15.5594
121		15.6015
121.1		15.6434
121.2		15.6851
121.3		15.7265
121.4		15.7678
121.5		15.8089
121.6		15.8497
121.7		15.8904
121.8		15.9308
121.9		15.971
122		16.0111
122.1		16.0509
122.2		16.0906
122.3		16.13
122.4		16.1693
122.5		16.2083
122.6		16.2472
122.7		16.2859
122.8		16.3243
122.9		16.3626
123		16.4007
123.1		16.4386
123.2		16.4763
123.3		16.5139
123.4		16.5512
123.5		16.5883
123.6		16.6253
123.7		16.6621
123.8		16.6987
123.9		16.7351
124		16.7713
124.1		16.8074
124.2		16.8433
124.3		16.879
124.4		16.9145
124.5		16.9498
124.6		16.985
124.7		17.02
124.8		17.0548
124.9		17.0894
125		17.1239
125.1		17.1582
125.2		17.1923
125.3		17.2263
125.4		17.26
125.5		17.2937
125.6		17.3271
125.7		17.3604
125.8		17.3935
125.9		17.4265
126		17.4592
126.1		17.4919
126.2		17.5243
126.3		17.5566
126.4		17.5888
126.5		17.6207
126.6		17.6525
126.7		17.6842
126.8		17.7157
126.9		17.747
127		17.7782
127.1		17.8093
127.2		17.8401
127.3		17.8709
127.4		17.9014
127.5		17.9318
127.6		17.9621
127.7		17.9922
127.8		18.0222
127.9		18.052
128		18.0817
128.1		18.1112
128.2		18.1406
128.3		18.1698
128.4		18.1989
128.5		18.2278
128.6		18.2566
128.7		18.2852
128.8		18.3137
128.9		18.3421
129		18.3703
129.1		18.3984
129.2		18.4263
129.3		18.4541
129.4		18.4818
129.5		18.5093
129.6		18.5367
129.7		18.5639
129.8		18.5911
129.9		18.618
130		18.6449
130.1		18.6716
130.2		18.6982
130.3		18.7246
130.4		18.7509
130.5		18.7771
130.6		18.8031
130.7		18.8291
130.8		18.8549
130.9		18.8805
131		18.906
131.1		18.9315
131.2		18.9567
131.3		18.9819
131.4		19.0069
131.5		19.0318
131.6		19.0566
131.7		19.0813
131.8		19.1058
131.9		19.1302
132		19.1545
132.1		19.1787
132.2		19.2027
132.3		19.2266
132.4		19.2504
132.5		19.2741
132.6		19.2977
132.7		19.3211
132.8		19.3445
132.9		19.3677
133		19.3908
133.1		19.4138
133.2		19.4367
133.3		19.4594
133.4		19.4821
133.5		19.5046
133.6		19.527
133.7		19.5493
133.8		19.5715
133.9		19.5936
134		19.6156
134.1		19.6375
134.2		19.6592
134.3		19.6809
134.4		19.7024
134.5		19.7238
134.6		19.7452
134.7		19.7664
134.8		19.7875
134.9		19.8085
135		19.8294
135.1		19.8502
135.2		19.8709
135.3		19.8915
135.4		19.912
135.5		19.9324
135.6		19.9527
135.7		19.9729
135.8		19.993
135.9		0
136		0
136.1		0
136.2		0
136.3		0
136.4		0
136.5		0
136.6		0
136.7		0
136.8		0
136.9		0
137		0
137.1		0
137.2		0
137.3		0
137.4		0
137.5		0
137.6		0
137.7		0
137.8		0
137.9		0
138		0
138.1		0.1197
138.2		0.238804
138.3		0.357313
138.4		0.475232
138.5		0.592562
138.6		0.709307
138.7		0.82547
138.8		0.941053
138.9		1.05606
139		1.17049
139.1		1.28436
139.2		1.39765
139.3		1.51038
139.4		1.62255
139.5		1.73416
139.6		1.84521
139.7		1.95571
139.8		2.06565
139.9		2.17505
140		2.2839
140.1		2.39221
140.2		2.49998
140.3		2.60721
140.4		2.71391
140.5		2.82007
140.6		2.92571
140.7		3.03082
140.8		3.1354
140.9		3.23946
141		3.34301
141.1		3.44604
141.2		3.54855
141.3		3.65055
141.4		3.75204
141.5		3.85303
141.6		3.95351
141.7		4.0535
141.8		4.15298
141.9		4.25197
142		4.35046
142.1		4.44846
142.2		4.54598
142.3		4.64301
142.4		4.73955
142.5		4.83561
142.6		4.93119
142.7		5.0263
142.8		5.12093
142.9		5.21509
143		5.30878
143.1		5.402
143.2		5.49476
143.3		5.58706
143.4		5.67889
143.5		5.77027
143.6		5.86119
143.7		5.95166
143.8		6.04167
143.9		6.13124
144		6.22036
144.1		6.30904
144.2		6.39727
144.3		6.48507
144.4		6.57242
144.5		6.65934
144.6		6.74583
144.7		6.83189
144.8		6.91751
144.9		7.00271
145		7.08749
145.1		7.17184
145.2		7.25577
145.3		7.33928
145.4		7.42238
145.5		7.50506
145.6		7.58733
145.7		7.66918
145.8		7.75064
145.9		7.83168
146		7.91232
146.1		7.99256
146.2		8.07239
146.3		8.15183
146.4		8.23088
146.5		8.30953
146.6		8.38778
146.7		8.46565
146.8		8.54313
146.9		8.62022
147		8.69692
147.1		8.77325
147.2		8.84919
147.3		8.92476
147.4		8.99995
147.5		9.07476
147.6		9.1492
147.7		9.22327
147.8		9.29697
147.9		9.3703
148		9.44326
148.1		9.51587
148.2		9.58811
148.3		9.65999
148.4		9.73151
148.5		9.80267
148.6		9.87348
148.7		9.94394
148.8		10.014
148.9		10.0838
149		10.1532
149.1		10.2223
149.2		10.291
149.3		10.3594
149.4		10.4274
149.5		10.4951
149.6		10.5624
149.7		10.6295
149.8		10.6961
149.9		10.7625
150		10.8285
150.1		10.8942
150.2		10.9596
150.3		11.0246
150.4		11.0893
150.5		11.1537
150.6		11.2178
150.7		11.2815
150.8		11.345
150.9		11.4081
151		11.4709
151.1		11.5334
151.2		11.5956
151.3		11.6574
151.4		11.719
151.5		11.7802
151.6		11.8412
151.7		11.9018
151.8		11.9622
151.9		12.0222
152		12.082
152.1		12.1414
152.2		12.2005
152.3		12.2594
152.4		12.3179
152.5		12.3762
152.6		12.4342
152.7		12.4919
152.8		12.5493
152.9		12.6064
153		12.6632
153.1		12.7197
153.2		12.776
153.3		12.832
153.4		12.8877
153.5		12.9431
153.6		12.9983
153.7		13.0531
153.8		13.1077
153.9		13.1621
154		13.2161
154.1		13.2699
154.2		13.3234
154.3		13.3767
154.4		13.4296
154.5		13.4824
154.6		13.5348
154.7		13.587
154.8		13.6389
154.9		13.6906
155		13.742
155.1		13.7932
155.2		13.8441
155.3		13.8948
155.4		13.9452
155.5		13.9953
155.6		14.0452
155.7		14.0949
155.8		14.1443
155.9		14.1934
156		14.2423
156.1		14.291
156.2		14.3394
156.3		14.3876
156.4		14.4355
156.5		14.4832
156.6		14.5307
156.7		14.5779
156.8		14.6249
156.9		14.6717
157		14.7182
157.1		14.7645
157.2		14.8106
157.3		14.8564
157.4		14.902
157.5		14.9474
157.6		14.9925
157.7		15.0375
157.8		15.0822
157.9		15.1266
158		15.1709
158.1		15.2149
158.2		15.2587
158.3		15.3023
158.4		15.3457
158.5		15.3889
158.6		15.4318
158.7		15.4746
158.8		15.5171
158.9		15.5594
159		15.6015
159.1		15.6434
159.2		15.6851
159.3		15.7265
159.4		15.7678
159.5		15.8089
159.6		15.8497
159.7		15.8904
159.8		15.9308
159.9		15.971
160		16.0111
160.1		16.0509
160.2		16.0906
160.3		16.13
160.4		16.1693
160.5		16.2083
160.6		16.2472
160.7		16.2859
160.8		16.3243
160.9		16.3626
161		16.4007
161.1		16.4386
161.2		16.4763
161.3		16.5139
161.4		16.5512
161.5		16.5883
161.6		16.6253
161.7		16.6621
161.8		16.6987
161.9		16.7351
162		16.7713
162.1		16.8074
162.2		16.8433
162.3		16.879
162.4		16.9145
162.5		16.9498
162.6		16.985
162.7		17.02
162.8		17.0548
162.9		17.0894
163		17.1239
163.1		17.1582
163.2		17.1923
163.3		17.2263
163.4		17.26
163.5		17.2937
163.6		17.3271
163.7		17.3604
163.8		17.3935
163.9		17.4265
164		17.4592
164.1		17.4919
164.2		17.5243
164.3		17.5566
164.4		17.5888
164.5		17.6207
164.6		17.6525
164.7		17.6842
164.8		17.7157
164.9		17.747
165		17.7782
165.1		17.8093
165.2		17.8401
165.3		17.8709
165.4		17.9014
165.5		17.9318
165.6		17.9621
165.7		17.9922
165.8		18.0222
165.9		18.052
166		18.0817
166.1		18.1112
166.2		18.1406
166.3		18.1698
166.4		18.1989
166.5		18.2278
166.6		18.2566
166.7		18.2852
166.8		18.3137
166.9		18.3421
167		18.3703
167.1		18.3984
167.2		18.4263
167.3		18.4541
167.4		18.4818
167.5		18.5093
167.6		18.5367
167.7		18.5639
167.8		18.5911
167.9		18.618
168		18.6449
168.1		18.6716
168.2		18.6982
168.3		18.7246
168.4		18.7509
168.5		18.7771
168.6		18.8031
168.7		18.8291
168.8		18.8549
168.9		18.8805
169		18.906
169.1		18.9315
169.2		18.9567
169.3		18.9819
169.4		19.0069
169.5		19.0318
169.6		19.0566
169.7		19.0813
169.8		19.1058
169.9		19.1302
170		19.1545
170.1		19.1787
170.2		19.2027
170.3		19.2266
170.4		19.2504
170.5		19.2741
170.6		19.2977
170.7		19.3211
170.8		19.3445
170.9		19.3677
171		19.3908
171.1		19.4138
171.2		19.4367
171.3		19.4594
171.4		19.4821
171.5		19.5046
171.6		19.527
171.7		19.5493
171.8		19.5715
171.9		19.5936
172		19.6156
172.1		19.6375
172.2		19.6592
172.3		19.6809
172.4		19.7024
172.5		19.7238
172.6		19.7452
172.7		19.7664
172.8		19.7875
172.9		19.8085
173		19.8294
173.1		19.8502
173.2		19.8709
173.3		19.8915
173.4		19.912
173.5		19.9324
173.6		19.9527
173.7		19.9729
173.8		19.993
173.9		0
174		0
174.1		0
174.2		0
174.3		0
174.4		0
174.5		0
174.6		0
174.7		0
174.8		0
174.9		0
175		0
175.1		0
175.2		0
175.3		0
175.4		0
175.5		0
175.6		0
175.7		0
175.8		0
175.9		0
176		0
176.1		0.1197
176.2		0.238804
176.3		0.357313
176.4		0.475232
176.5		0.592562
176.6		0.709307
176.7		0.82547
176.8		0.941053
176.9		1.05606
177		1.17049
177.1		1.28436
177.2		1.39765
177.3		1.51038
177.4		1.62255
177.5		1.73416
177.6		1.84521
177.7		1.95571
177.8		2.06565
177.9		2.17505
178		2.2839
178.1		2.39221
178.2		2.49998
178.3		2.60721
178.4		2.71391
178.5		2.82007
178.6		2.92571
178.7		3.03082
178.8		3.1354
178.9		3.23946
179		3.34301
179.1		3.44604
179.2		3.54855
179.3		3.65055
179.4		3.75204
179.5		3.85303
179.6		3.95351
179.7		4.0535
179.8		4.15298
179.9		4.25197
180		4.35046
180.1		4.44846
180.2		4.54598
180.3		4.64301
180.4		4.73955
180.5		4.83561
180.6		4.93119
180.7		5.0263
180.8		5.12093
180.9		5.21509
181		5.30878
181.1		5.402
181.2		5.49476
181.3		5.58706
181.4		5.67889
181.5		5.77027
181.6		5.86119
181.7		5.95166
181.8		6.04167
181.9		6.13124
182		6.22036
182.1		6.30904
182.2		6.39727
182.3		6.48507
182.4		6.57242
182.5		6.65934
182.6		6.74583
182.7		6.83189
182.8		6.91751
182.9		7.00271
183		7.08749
183.1		7.17184
183.2		7.25577
183.3		7.33928
183.4		7.42238
183.5		7.50506
183.6		7.58733
183.7		7.66918
183.8		7.75064
183.9		7.83168
184		7.91232
184.1		7.99256
184.2		8.07239
184.3		8.15183
184.4		8.23088
184.5		8.30953
184.6		8.38778
184.7		8.46565
184.8		8.54313
184.9		8.62022
185		8.69692
185.1		8.77325
185.2		8.84919
185.3		8.92476
185.4		8.99995
185.5		9.07476
185.6		9.1492
185.7		9.22327
185.8		9.29697
185.9		9.3703
186		9.44326
186.1		9.51587
186.2		9.58811
186.3		9.65999
186.4		9.73151
186.5		9.80267
186.6		9.87348
186.7		9.94394
186.8		10.014
186.9		10.0838
187		10.1532
187.1		10.2223
187.2		10.291
187.3		10.3594
187.4		10.4274
187.5		10.4951
187.6		10.5624
187.7		10.6295
187.8		10.6961
187.9		10.7625
188		10.8285
188.1		10.8942
188.2		10.9596
188.3		11.0246
188.4		11.0893
188.5		11.1537
188.6		11.2178
188.7		11.2815
188.8		11.345
188.9		11.4081
189		11.4709
189.1		11.5334
189.2		11.5956
189.3		11.6574
189.4		11.719
189.5		11.7802
189.6		11.8412
189.7		11.9018
189.8		11.9622
189.9		12.0222
190		12.082
190.1		12.1414
190.2		12.2005
190.3		12.2594
190.4		12.3179
190.5		12.3762
190.6		12.4342
190.7		12.4919
190.8		12.5493
190.9		12.6064
191		12.6632
191.1		12.7197
191.2		12.776
191.3		12.832
191.4		12.8877
191.5		12.9431
191.6		12.9983
191.7		13.0531
191.8		13.1077
191.9		13.1621
192		13.2161
192.1		13.2699
192.2		13.3234
192.3		13.3767
192.4		13.4296
192.5		13.4824
192.6		13.5348
192.7		13.587
192.8		13.6389
192.9		13.6906
193		13.742
193.1		13.7932
193.2		13.8441
193.3		13.8948
193.4		13.9452
193.5		13.9953
193.6		14.0452
